Id,SalePrice
1461,124759.6
1462,154716.45
1463,188657.12
1464,187770.31
1465,181566.23
1466,180335.08
1467,168417.69
1468,172137.77
1469,173121.3
1470,127090.43
1471,212138.3
1472,98290.1
1473,100001.94
1474,151048.11
1475,122081.43
1476,338749.22
1477,246004.11
1478,304354.12
1479,284781.5
1480,476696.34
1481,293407.2
1482,203186.42
1483,184266.6
1484,164808.95
1485,176765.39
1486,201284.8
1487,302349.78
1488,218567.86
1489,210890.75
1490,236136.36
1491,190489.55
1492,96695.68
1493,188390.47
1494,280195.84
1495,274412.53
1496,252022.2
1497,182329.14
1498,157378.11
1499,158890.9
1500,161275.48
1501,172453.97
1502,150111.47
1503,279529.1
1504,226758.36
1505,218849.05
1506,177339.4
1507,244255.11
1508,192798.83
1509,161057.9
1510,150487.53
1511,147270.69
1512,169451.4
1513,145511.72
1514,165152.39
1515,211214.44
1516,151217.11
1517,151565.17
1518,136415.2
1519,231674.22
1520,139263.67
1521,144369.27
1522,165641.11
1523,122995.12
1524,124538.375
1525,122622.85
1526,130080.19
1527,120277.61
1528,128594.586
1529,141188.02
1530,160084
1531,121034.74
1532,98983.05
1533,145375.78
1534,120381.72
1535,146338.97
1536,123512.72
1537,101024.12
1538,147730.48
1539,191923.52
1540,124051.8
1541,137194
1542,134512.25
1543,201223.31
1544,88430.01
1545,99926.43
1546,129042.64
1547,129895.15
1548,123407.266
1549,116731.34
1550,141413.84
1551,116061.125
1552,139810.64
1553,139202.23
1554,113972.77
1555,174678.6
1556,102277.88
1557,129397.36
1558,91482.76
1559,111555.17
1560,152827.53
1561,143775.19
1562,131380.44
1563,128714.77
1564,160270.12
1565,162350.64
1566,230551.17
1567,85892.19
1568,226815
1569,144525.45
1570,139267.8
1571,129690.23
1572,146185.5
1573,243131.97
1574,118640.13
1575,234230.3
1576,215278.23
1577,202722.12
1578,133843.17
1579,149112.64
1580,192161.83
1581,151535.95
1582,125456.94
1583,301880.88
1584,236623.92
1585,140736.17
1586,78985.83
1587,102704.92
1588,150563.55
1589,104949.1
1590,127463.2
1591,103595.73
1592,127375.59
